,,,,,,,Daily Price Arrival Report-16-11-2025 to 16-05-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,"1,168.50",Metric Tonnes,16-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,983.30,Metric Tonnes,16-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,779.50,Metric Tonnes,16-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,313.50",Metric Tonnes,16-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"2,067.50",Metric Tonnes,16-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,"1,363.60",Metric Tonnes,15-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,827.70,Metric Tonnes,15-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,"1,088.00",Metric Tonnes,15-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,780.60,Metric Tonnes,14-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,000.00",800.00,Rs./Quintal,838.50,Metric Tonnes,14-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,586.50",Metric Tonnes,14-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,736.00,Metric Tonnes,13-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,"1,473.80",Metric Tonnes,13-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,787.10,Metric Tonnes,13-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,"1,307.80",Metric Tonnes,13-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,764.10,Metric Tonnes,13-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,700.00","1,200.00",Rs./Quintal,"1,403.10",Metric Tonnes,12-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,656.10,Metric Tonnes,12-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,703.00,Metric Tonnes,12-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,646.00,Metric Tonnes,12-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00",950.00,Rs./Quintal,984.00,Metric Tonnes,12-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,"1,044.50",Metric Tonnes,11-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,519.50",Metric Tonnes,11-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,293.20",Metric Tonnes,11-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,969.50,Metric Tonnes,11-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,700.00","1,200.00",Rs./Quintal,"1,681.30",Metric Tonnes,10-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,229.20",Metric Tonnes,10-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,281.00",Metric Tonnes,10-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,100.00",850.00,Rs./Quintal,868.30,Metric Tonnes,10-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,"1,284.50",Metric Tonnes,09-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,"1,045.40",Metric Tonnes,09-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00",950.00,Rs./Quintal,835.10,Metric Tonnes,09-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,386.90",Metric Tonnes,09-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,"1,265.90",Metric Tonnes,09-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,"1,478.50",Metric Tonnes,09-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,"1,736.90",Metric Tonnes,08-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,815.80,Metric Tonnes,08-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,990.10,Metric Tonnes,08-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,975.70,Metric Tonnes,08-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,784.90,Metric Tonnes,07-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,881.40,Metric Tonnes,07-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,"1,290.00",Metric Tonnes,07-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,900.00,"1,300.00","1,100.00",Rs./Quintal,"1,115.90",Metric Tonnes,06-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,999.40,Metric Tonnes,06-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,544.60,Metric Tonnes,06-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",850.00,Rs./Quintal,"1,006.60",Metric Tonnes,06-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,209.50",Metric Tonnes,06-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,700.00","1,150.00",Rs./Quintal,"1,128.00",Metric Tonnes,05-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,"1,134.90",Metric Tonnes,05-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,242.60,Metric Tonnes,05-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,980.60,Metric Tonnes,05-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,385.80",Metric Tonnes,05-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,800.00","1,250.00",Rs./Quintal,729.10,Metric Tonnes,04-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,900.00,"1,300.00","1,100.00",Rs./Quintal,846.90,Metric Tonnes,04-05-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00",950.00,Rs./Quintal,699.10,Metric Tonnes,04-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,486.90,Metric Tonnes,04-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,848.30,Metric Tonnes,04-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"2,000.00","1,300.00",Rs./Quintal,"1,113.90",Metric Tonnes,03-12-2025
